CODIGO_DA_IES,NOME_DA_IES,SIGLA,CATEGORIA_DA_IES,COMUNITARIA,CONFESSIONAL,FILANTROPICA,ORGANIZACAO_ACADEMICA,CODIGO_MUNICIPIO_IBGE,MUNICIPIO,UF,SITUACAO_IES
4450,CENTRO UNIVERSITÁRIO METROPOLITANO DA AMAZÔNIA,UNIFAMAZ,Privada,N,N,N,Centro Universitário,000000001501402,Belém,PA,Ativa
1221,Escola Superior de Agronomia de Paraguaçu Paulista,ESAPP,Privada,N,N,N,Faculdade,000000003535507,Paraguaçu Paulista,SP,Ativa
25655,Faculdade Sirius,SIRIUS,Privada,N,N,N,Faculdade,000000003106200,Belo Horizonte,MG,Ativa
1395,FACULDADE DE CALDAS NOVAS,UNICALDAS,Privada,N,N,N,Faculdade,000000005204508,Caldas Novas,GO,Ativa
1436,CENTRO UNIVERSITÁRIO ESBAM,UniEsbam,Privada,N,N,N,Centro Universitário,000000001302603,Manaus,AM,Ativa
3514,FACULDADE DE CIÊNCIAS GERENCIAIS ALVES FORTES,FACE - ALFOR,Privada,N,N,N,Faculdade,000000003101508,Além Paraíba,MG,Ativa
15520,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE MATO GROSSO DO SUL",IFMS,Pública,N,N,N,"Instituto Federal de Educação, Ciência e Tecnologia",000000005002704,Campo Grande,MS,Ativa
21414,Centro de Estudos de Pessoal e Forte Duque de Caxias,CEP,Pública,N,N,N,Instituição Especialmente Credenciada para oferta de cursos lato sensu,000000003304557,Rio de Janeiro,RJ,Ativa
15980,FG Faculdade Global,FG,Privada,N,N,N,Faculdade,000000004314902,Porto Alegre,RS,Ativa
18067,CISNE - Faculdade Tecnológica de Quixadá,CFTQ,Privada,N,N,N,Faculdade,000000002311306,Quixadá,CE,Extinta
13631,"Faculdade de Ciências, Educação, Saúde, Pesquisa e Gestão",FSF,Privada,N,N,N,Faculdade,000000003304805,São Fidélis,RJ,Ativa
23146,Faculdade Dominius,FAD,Privada,N,N,N,Faculdade,000000002911709,Guanambi,BA,Ativa
1717,Centro Universitário Facimp Wyden,Unifacimp Wyden,Privada,N,N,N,Centro Universitário,000000002105302,Imperatriz,MA,Ativa
26139,VOAS - INSTITUTO DE APRENDIZAGEM SUPERIOR,VOAS,Privada,N,N,N,Faculdade,000000002927408,Salvador,BA,Ativa
1801,FACULDADE DOM BOSCO DE UBIRATÃ,DOM BOSCO UBIRATÃ,Privada,N,N,N,Faculdade,000000004128005,Ubiratã,PR,Ativa
21408,FACULDADE INTEGRADA DE PALMEIRAS DE GOIÁS,FAI,Privada,N,N,N,Faculdade,000000005215702,Palmeiras de Goiás,GO,Ativa
899,FACULDADES INTEGRADAS DE RIO VERDE,FIRVE,Privada,N,N,N,Faculdade,000000005007406,Rio Verde de Mato Grosso,MS,Extinta
23400,FACULDADE FASIPE DE SORRISO,FFS,Privada,N,N,N,Faculdade,000000005107925,Sorriso,MT,Ativa
737,CENTRO UNIVERSITÁRIO SÃO CAMILO,SAO CAMILO,Privada,N,S,N,Centro Universitário,000000003550308,São Paulo,SP,Ativa
266,UNIVERSIDADE METODISTA DE PIRACICABA,UNIMEP,Privada,S,S,N,Universidade,000000003538709,Piracicaba,SP,Ativa
20003,FACULDADE SERRANA DE SAÚDE,FASS,Privada,N,N,N,Faculdade,000000002802908,Itabaiana,SE,Extinta
4179,FACULDADE NAZARENA DO BRASIL,FNB,Privada,N,N,N,Faculdade,000000003509502,Campinas,SP,Extinta
1645,Faculdade de Excelência UNEX de Jequié,UNEX de Jequié,Privada,N,N,N,Faculdade,000000002918001,Jequié,BA,Ativa
21587,Faculdade Maurício de Nassau de Uberlândia,FMN Uberlândia,Privada,N,N,N,Faculdade,000000003170206,Uberlândia,MG,Extinta
21435,ESCOLA DE FORMAÇÃO COMPLEMENTAR DO EXÉRCITO,EsFCEx,Pública,N,N,N,Instituição Especialmente Credenciada para oferta de cursos lato sensu,000000002927408,Salvador,BA,Extinta
4598,FACULDADE DE JUNDIAÍ,null,Privada,N,N,N,Faculdade,000000003525904,Jundiaí,SP,Extinta
23218,Faculdade Paraíso Fortaleza,FAP,Privada,N,N,N,Faculdade,000000002304400,Fortaleza,CE,Ativa
19334,Faculdade Uninassau Brasília,Nassau Brasília,Privada,N,N,N,Faculdade,000000005300108,Brasília,DF,Ativa
21441,Escola de Equitação do Exército,EsEqEx,Pública,N,N,N,Instituição Especialmente Credenciada para oferta de cursos lato sensu,000000003304557,Rio de Janeiro,RJ,Ativa
16914,Faculdade Leonardo da Vinci - Santa Catarina,FAVINCI,Privada,N,N,N,Faculdade,000000004218202,Timbó,SC,Extinta
724,Centro Universitário FACEX,UNIFACEX,Privada,N,N,N,Centro Universitário,000000002408102,Natal,RN,Ativa
2513,Faculdade Positivo Londrina,FPL,Privada,N,N,N,Faculdade,000000004113700,Londrina,PR,Ativa
19963,Faculdade de Ciências Odontológicas,FCO,Privada,N,N,N,Faculdade,000000003143302,Montes Claros,MG,Ativa
2397,FACULDADE FUCAPE,FUCAPE,Privada,N,N,N,Faculdade,000000003205309,Vitória,ES,Ativa
26345,Faculdade Aliança Centro-Oeste,FAACE,Privada,N,N,N,Faculdade,000000005212501,Luziânia,GO,Ativa
2761,FACULDADE DO SERTÃO,UESSBA,Privada,N,N,N,Faculdade,000000002914604,Irecê,BA,Extinta
17651,FACULDADE LIFE,FACLIFE,Privada,N,N,N,Faculdade,000000005215603,Padre Bernardo,GO,Ativa
1702,CENTRO UNIVERSITÁRIO ESTÁCIO DA AMAZÔNIA,ESTÁCIO AMAZÔNIA,Privada,N,N,N,Centro Universitário,000000001400100,Boa Vista,RR,Ativa
3878,FACULDADE DECISION DE NEGÓCIOS,null,Privada,N,N,N,Faculdade,000000004314902,Porto Alegre,RS,Ativa
1696,FACULDADE SOBRESP DE CRISTALINA,null,Privada,N,N,N,Faculdade,000000005206206,Cristalina,GO,Ativa
1853,CENTRO UNIVERSITÁRIO UniBTA IM,UniBTA IM,Privada,N,N,N,Centro Universitário,000000003550308,São Paulo,SP,Ativa
3930,INSTITUTO DE EDUCAÇÃO SUPERIOR RAIMUNDO SÁ,IESRSA,Privada,N,N,N,Faculdade,000000002208007,Picos,PI,Ativa
1944,FACULDADE DE TECNOLOGIA IBRATEC,IBRATEC,Privada,N,N,N,Faculdade,000000002611606,Recife,PE,Extinta
18289,FACULDADE INTEGRADA DE MARINGÁ,INTEGRADA,Privada,N,N,N,Faculdade,000000004115200,Maringá,PR,Extinta
15689,Faculdade de Tecnologia de Bauru,FATEC,Pública,N,N,N,Faculdade,000000003506003,Bauru,SP,Ativa
12791,FACULDADE ANHANGUERA DE PINDAMONHANGABA,null,Privada,N,N,N,Faculdade,000000003538006,Pindamonhangaba,SP,Ativa
21365,FACULDADE MAURÍCIO DE NASSAU DE FLORIANÓPOLIS,FMN FLORIPA,Privada,N,N,N,Faculdade,000000004205407,Florianópolis,SC,Extinta
2124,FACULDADE CALAFIORI,CALAFIORI,Privada,N,N,N,Faculdade,000000003164704,São Sebastião do Paraíso,MG,Ativa
3172,UNIVERSIDADE DO ESTADO DO AMAZONAS,UEA,Pública,N,N,N,Universidade,000000001302603,Manaus,AM,Ativa
16502,FACULDADE AETOS,FAETOS,Privada,N,N,N,Faculdade,000000003516200,Franca,SP,Extinta
14215,Faculdade Presidente Antônio Carlos de Barroso,FUNEES,Privada,N,N,N,Faculdade,000000003105905,Barroso,MG,Extinta
5101,FACULDADE CENTRO OESTE DO PARANÁ,FACEOPAR,Privada,N,N,N,Faculdade,000000004113304,Laranjeiras do Sul,PR,Extinta
888,FACULDADE BANDEIRANTES DE CIÊNCIAS EXATAS E HUMANAS,FACEX,Privada,N,N,N,Faculdade,000000003550308,São Paulo,SP,Extinta
22472,FACULDADE ARQUIDIOCESANA DE PIRAPORA,FAP,Privada,N,N,N,Faculdade,000000003151206,Pirapora,MG,Ativa
5527,FACULDADE DE GOIÂNIA - UNIDADE 1,FAG,Privada,N,N,N,Faculdade,000000005208707,Goiânia,GO,Extinta
3360,INSTITUTO DE EDUCAÇÃO SUPERIOR PRESIDENTE KENNEDY - CENTRO DE FORMAÇÃO DE PROFISSIONAIS DE EDUCAÇÃO,IFESP,Pública,N,N,N,Faculdade,000000002408102,Natal,RN,Ativa
20340,FACULDADE PAULISTA DE CIÊNCIAS DA SAÚDE,FPCS,Privada,N,N,N,Faculdade,000000003550308,São Paulo,SP,Ativa
5017,FACULDADE DE EDUCAÇÃO TECNOLÓGICA DO ESTADO DO RIO DE JANEIRO - FAETERJ,FAETERJ PETRÓPOLIS,Pública,N,N,N,Faculdade,000000003303906,Petrópolis,RJ,Ativa
2197,Faculdade Villas Boas,FVB,Privada,N,N,N,Faculdade,000000003550308,São Paulo,SP,Extinta
1430,CENTRO UNIVERSITÁRIO INGÁ,UNINGÁ,Privada,N,N,N,Centro Universitário,000000004115200,Maringá,PR,Ativa
5525,FACULDADE DE TECNOLOGIA LOURENÇO FILHO,FATEC - FLF,Privada,N,N,N,Faculdade,000000002304400,Fortaleza,CE,Extinta
490,CENTRO UNIVERSITÁRIO DE VALENÇA,UNIFAA,Privada,N,N,N,Centro Universitário,000000003306107,Valença,RJ,Ativa
2435,FACULDADE DE CIÊNCIAS CONTÁBEIS LUIZ MENDES,LUMEN FACULDADES,Privada,N,N,N,Faculdade,000000002507507,João Pessoa,PB,Extinta
713,ESCOLA SUPERIOR DE ESTATÍSTICA DA BAHIA,ESEB,Privada,N,N,N,Faculdade,000000002927408,Salvador,BA,Extinta
3290,INSTITUTO SUPERIOR DE EDUCAÇÃO DOS INCONFIDENTES,ISEI,Privada,N,N,N,Faculdade,000000003131901,Itabirito,MG,Extinta
2257,FACULDADE DIADEMA,FAD,Privada,N,N,N,Faculdade,000000003513801,Diadema,SP,Ativa
5706,Faculdade Municipal de Palhoça - Educadora Mariléia Silveira da Costa,FMP,Pública,N,N,N,Faculdade,000000004211900,Palhoça,SC,Ativa
18703,ENSINO SUPERIOR ALBERT SABIN,ESAS,Privada,N,N,N,Faculdade,000000005300108,Brasília,DF,Ativa
1346,Faculdade IPEMIG,FIPEMIG,Privada,N,N,N,Faculdade,000000003106200,Belo Horizonte,MG,Ativa
25261,AFYA Faculdade de Ciências Médicas de Bragança,AFYA Bragança,Privada,N,N,N,Faculdade,000000001501709,Bragança,PA,Ativa
1972,Faculdade de São Caetano do Sul,null,Privada,N,N,N,Faculdade,000000003548807,São Caetano do Sul,SP,Ativa
1678,FACULDADE DE CIÊNCIAS DE WENCESLAU BRAZ,FACIBRA,Privada,N,N,N,Faculdade,000000004128500,Wenceslau Braz,PR,Extinta
24470,Faculdade de Medicina do Sertão,FMS,Privada,N,N,N,Faculdade,000000002601201,Arcoverde,PE,Ativa
2775,Faculdade Católica de Várzea Grande,FACC-VG,Privada,N,S,N,Faculdade,000000005108402,Várzea Grande,MT,Ativa
2336,CENTRO UNIVERSITÁRIO UNIBRAS MONTES BELOS,UNIBRAS,Privada,N,N,N,Centro Universitário,000000005220108,São Luís de Montes Belos,GO,Ativa
1803,FACULDADE DE TECNOLOGIA E CIÊNCIAS DE PERNAMBUCO,FATEC,Privada,N,N,N,Faculdade,000000002611606,Recife,PE,Extinta
2560,UNEF CENTRO UNIVERSITÁRIO,UNEF,Privada,N,N,N,Centro Universitário,000000002910800,Feira de Santana,BA,Ativa
1170,Centro Universitário FAMEC,UNIFAMEC,Privada,N,N,N,Centro Universitário,000000002905701,Camaçari,BA,Ativa
22763,FACULDADE SANTA CASA,FSC,Privada,N,N,N,Faculdade,000000002927408,Salvador,BA,Ativa
26524,FACULDADE REGIONAL DE UBERABA,,Privada,N,N,N,Faculdade,000000003170107,Uberaba,MG,Ativa
22239,FACULDADE  INTEGRADA DE ADVOCACIA DA  AMAZÔNIA,FINAMA,Privada,N,N,N,Faculdade,000000001501402,Belém,PA,Ativa
29118,Universidade Federal do Norte do Tocantins,UFNT,Pública,N,N,N,Universidade,000000001702109,Araguaína,TO,Ativa
21821,Faculdade de Tecnologia Senac Maringá,,Privada,N,N,N,Faculdade,000000004115200,Maringá,PR,Ativa
3590,FACULDADE DE ENFERMAGEM SÃO VICENTE DE PAULA,FESVIP,Privada,N,N,N,Faculdade,000000002507507,João Pessoa,PB,Ativa
4503,UNIVERSIDADE FEDERAL DO RECÔNCAVO DA BAHIA,UFRB,Pública,N,N,N,Universidade,000000002909802,Cruz das Almas,BA,Ativa
1185,CENTRO UNIVERSITÁRIO JORGE AMADO,UNIJORGE,Privada,N,N,N,Centro Universitário,000000002927408,Salvador,BA,Ativa
1736,CENTRO UNIVERSITÁRIO LA SALLE DO RIO DE JANEIRO,UNILASALLE/RJ,Privada,N,S,N,Centro Universitário,000000003303302,Niterói,RJ,Ativa
21364,FACULDADE UNIFAEL PORTO ALEGRE,FAEL POA,Privada,N,N,N,Faculdade,000000004314902,Porto Alegre,RS,Ativa
17565,Afya Faculdade de Parnaíba,Afya Parnaíba,Privada,N,N,N,Faculdade,000000002207702,Parnaíba,PI,Ativa
21888,Faculdade Rehagro,Rehagro,Privada,N,N,N,Faculdade,000000003106200,Belo Horizonte,MG,Ativa
18152,FACULDADE INTEGRADA DE ARAPONGAS,INTEGRADA,Privada,N,N,N,Faculdade,000000004101507,Arapongas,PR,Extinta
3004,INSTITUTO DE ENSINO SUPERIOR SANTA CECÍLIA,IESC,Privada,N,N,N,Faculdade,000000002700300,Arapiraca,AL,Extinta
26533,FACULDADE GOIÁS,FACGOIAS,Privada,N,N,N,Faculdade,000000005208707,Goiânia,GO,Ativa
23107,Faculdade Dom Adelio Tomasin,FADAT,Privada,N,N,N,Faculdade,000000002311306,Quixadá,CE,Ativa
25434,Faculdade NeuroSaber,,Privada,N,N,N,Faculdade,000000004113700,Londrina,PR,Ativa
2561,FACULDADE DE CIÊNCIAS ADMINISTRATIVAS,FCA,Privada,N,N,N,Faculdade,000000005103403,Cuiabá,MT,Extinta
17590,Faculdade ISAE BRASIL,ISAE,Privada,N,N,N,Faculdade,000000004106902,Curitiba,PR,Ativa
3697,FACULDADE FAMERCOSUL,FSUL,Privada,N,N,N,Faculdade,000000004314902,Porto Alegre,RS,Ativa
1762,Centro Universitário de Tecnologia e Negócios Carlos Drummond de Andrade,UniTen CDA,Privada,N,N,N,Centro Universitário,000000003550308,São Paulo,SP,Ativa
5181,FACULDADE MOGIANA DO ESTADO DE SÃO PAULO,FAMOESP,Privada,N,N,N,Faculdade,000000003530706,Mogi Guaçu,SP,Extinta
15053,CENTRO UNIVERSITÁRIO UNIVERSO GOIÂNIA,,Privada,N,N,N,Centro Universitário,000000005208707,Goiânia,GO,Ativa
20465,Faculdade de Agronegócios de Holambra,FAAGROH,Privada,N,N,N,Faculdade,000000003519055,Holambra,SP,Ativa
24189,FACULDADE SÃO FRANCISCO DA PARAÍBA CAMPINA GRANDE,,Privada,N,N,N,Faculdade,000000002504009,Campina Grande,PB,Ativa
19554,Faculdade Petrus,FAPETRUS,Privada,N,N,N,Faculdade,000000002111300,São Luís,MA,Ativa
22097,FACULDADE POLITÉCNICA DE CAMPO GRANDE,POLITÉCNICA,Privada,N,N,N,Faculdade,000000005002704,Campo Grande,MS,Extinta
2350,ESCOLA SUPERIOR MADRE CELESTE,ESMAC,Privada,N,N,N,Faculdade,000000001500800,Ananindeua,PA,Ativa
624,FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS CARLOS QUEIROZ,FAFIQUE,Privada,N,N,N,Faculdade,000000003546405,Santa Cruz do Rio Pardo,SP,Extinta
2194,FACULDADE ANHANGUERA DO RIO GRANDE,,Privada,N,N,N,Faculdade,000000004315602,Rio Grande,RS,Ativa
1334,CENTRO UNIVERSITÁRIO FACISA,UNIFACISA,Privada,N,N,N,Centro Universitário,000000002504009,Campina Grande,PB,Ativa
1467,FACULDADE CENECISTA DE VILA VELHA,FACEVV,Privada,N,N,N,Faculdade,000000003205200,Vila Velha,ES,Extinta
3805,FACULDADE DE TECNOLOGIA DA PARAÍBA,FATECPB,Privada,N,N,N,Faculdade,000000002503209,Cabedelo,PB,Ativa
13982,CENTRO UNIVERSITÁRIO DA AMAZÔNIA BELÉM,UNAMA,Privada,N,N,N,Centro Universitário,000000001501402,Belém,PA,Ativa
21540,FACULDADE FREIRE DE ENSINO,FFE,Privada,N,N,N,Faculdade,000000003516309,Francisco Morato,SP,Extinta
11645,FACULDADE UNINASSAU VILHENA,null,Privada,N,N,N,Faculdade,000000001100304,Vilhena,RO,Ativa
1694,ESCOLA SUPERIOR DE CRICIÚMA - ESUCRI,ESUCRI,Privada,N,N,N,Faculdade,000000004204608,Criciúma,SC,Ativa
2,UNIVERSIDADE DE BRASÍLIA,UNB,Pública,N,N,N,Universidade,000000005300108,Brasília,DF,Ativa
4043,FACULDADE TECNOLOGIA EDUVALE - AVARÉ,FATEC EDUVALE,Privada,N,N,N,Faculdade,000000003504503,Avaré,SP,Extinta
1489,FACULDADE DE SELVÍRIA,FAS,Privada,N,N,N,Faculdade,000000005007802,Selvíria,MS,Extinta
18649,FACULDADE UNINASSAU MOSSORÓ,null,Privada,N,N,N,Faculdade,000000002408003,Mossoró,RN,Ativa
22020,Escola Municipal de Gestão do Legislativo,EMUGLE,Pública,N,N,N,Escola de Governo,000000003301009,Campos dos Goytacazes,RJ,Ativa
23023,FACULDADE TECNOLOGICA ANTHROPOS,FATAN,Privada,N,N,N,Faculdade,000000002313401,Tianguá,CE,Ativa
3020,FACULDADE SANTA RITA DE CÁSSIA,IFASC,Privada,N,N,N,Faculdade,000000005211503,Itumbiara,GO,Ativa
3839,Faculdade Afya Educação Médica de Minas Gerais,null,Privada,N,N,N,Faculdade,000000003106200,Belo Horizonte,MG,Ativa
4102,FACULDADE DE TECNOLOGIA IBRATEC DE MACEIÓ,IBRATEC,Privada,N,N,N,Faculdade,000000002704302,Maceió,AL,Extinta
2147,Centro Universitário CEUNI - FAMETRO,CEUNI-FAMETRO,Privada,N,N,N,Centro Universitário,000000001302603,Manaus,AM,Ativa
3985,CENTRO UNIVERSITÁRIO SENAC,SENACSP,Privada,N,N,N,Centro Universitário,000000003550308,São Paulo,SP,Ativa
756,UNIVERSIDADE ESTADUAL DO PIAUÍ,UESPI,Pública,N,N,N,Universidade,000000002211001,Teresina,PI,Ativa
21411,Faculdade Uninassau Cuiabá,Nassau Cuiabá,Privada,N,N,N,Faculdade,000000005103403,Cuiabá,MT,Extinta
26627,Faculdade Baiana de Ciências da Saúde Dr. Oswaldo Fortini,FACISO-BA,Privada,N,N,N,Faculdade,000000002919553,Luís Eduardo Magalhães,BA,Ativa
26562,Faculdade dos Vales - FACUVALE,FACUVALE,Privada,N,N,N,Faculdade,000000003135100,Janaúba,MG,Ativa
3238,FACULDADE DE ODONTOLOGIA,ITPAC,Privada,N,N,N,Faculdade,000000001702109,Araguaína,TO,Extinta
1636,Faculdade Monte Pascoal,FMP,Privada,N,N,N,Faculdade,000000004304408,Canela,RS,Extinta
360,Centro Universitário Paulistana,UNIPAULISTANA,Privada,N,N,N,Centro Universitário,000000003550308,São Paulo,SP,Ativa
21993,FACULDADE UNINTA IGUATU,null,Privada,N,S,N,Faculdade,000000002305506,Iguatu,CE,Extinta
2521,INSTITUTO SUPERIOR DE EDUCAÇÃO DO SUL DO PIAUÍ,ISESPI,Privada,N,N,N,Faculdade,000000002202307,Canto do Buriti,PI,Extinta
18958,FACULDADES INTEGRADAS QUALIS,FIQ,Privada,N,N,N,Faculdade,000000002506301,Guarabira,PB,Extinta
14121,Faculdade Presidente Antônio Carlos de São João Nepomuceno,null,Privada,N,N,N,Faculdade,000000003162906,São João Nepomuceno,MG,Extinta
23100,FACULDADE ANHANGUERA DE JUAZEIRO DO NORTE,,Privada,N,N,N,Faculdade,000000002307304,Juazeiro do Norte,CE,Ativa
1403,Faculdade Estácio de Pimenta Bueno,Estácio FAP,Privada,N,N,N,Faculdade,000000001100189,Pimenta Bueno,RO,Ativa
26956,FACULDADE ACADI-TI,ACADI-TI,Privada,N,N,N,Faculdade,000000003549904,São José dos Campos,SP,Ativa
1065,FACULDADE DE CIÊNCIAS ECONÔMICAS E ADMINISTRATIVAS DE VILA VELHA,null,Privada,N,N,N,Faculdade,000000003205200,Vila Velha,ES,Extinta
1162,FACULDADE DE ALTA FLORESTA,FAF,Privada,N,N,N,Faculdade,000000005100250,Alta Floresta,MT,Ativa
574,UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO,UFRRJ,Pública,N,N,N,Universidade,000000003305554,Seropédica,RJ,Ativa
195,FACULDADE PRESBITERIANA MACKENZIE RIO,null,Privada,N,N,N,Faculdade,000000003304557,Rio de Janeiro,RJ,Ativa
17828,Faculdade do Centro Leste - Cariacica,UCL,Privada,N,N,N,Faculdade,000000003201308,Cariacica,ES,Extinta
761,FACULDADE NACIONAL DE CURITIBA,FANAC,Privada,N,N,N,Faculdade,000000004106902,Curitiba,PR,Extinta
447,FACULDADE CATÓLICA DE CIÊNCIAS ECONÔMICAS DA BAHIA,FACCEBA,Privada,N,N,N,Faculdade,000000002927408,Salvador,BA,Extinta
5275,FACULDADE DE CIÊNCIAS GERENCIAIS,null,Privada,N,N,N,Faculdade,000000003113305,Carangola,MG,Extinta
22218,FACULDADE UNIVERITAS UNIVERSUS VERITAS DE MONTES CLAROS,UNIVERITAS MC,Privada,N,N,N,Faculdade,000000003143302,Montes Claros,MG,Extinta
2383,Faculdade Atitus Educação Passo Fundo,Atitus Educação,Privada,N,N,N,Faculdade,000000004314100,Passo Fundo,RS,Ativa
18516,FACULDADE MIRIENSE,,Privada,N,N,N,Faculdade,000000001503309,Igarapé-Miri,PA,Ativa
1312,FACULDADES INTEGRADAS DE RONDONÓPOLIS,FAIR,Privada,N,N,N,Faculdade,000000005107602,Rondonópolis,MT,Ativa
601,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO SUL",IFRS,Pública,N,N,N,"Instituto Federal de Educação, Ciência e Tecnologia",000000004302105,Bento Gonçalves,RS,Ativa
17636,FACULDADE DA SERRA,SERRAVIX,Privada,N,N,N,Faculdade,000000003205002,Serra,ES,Extinta
243,FACULDADE DO CLUBE NÁUTICO MOGIANO,FCNM,Privada,N,N,N,Faculdade,000000003530607,Mogi das Cruzes,SP,Ativa
4061,FACULDADE DE TECNOLOGIA DE BRASÍLIA,FTB,Privada,N,N,N,Faculdade,000000005300108,Brasília,DF,Extinta
12584,SUSTENTARE ESCOLA DE NEGÓCIOS,Sustentare,Privada,N,N,N,Faculdade,000000004209102,Joinville,SC,Ativa
19844,FACULDADE UNINASSAU SOBRAL,null,Privada,N,N,N,Faculdade,000000002312908,Sobral,CE,Ativa
25467,Faculdade Alura.Tech,Alura.Tech,Privada,N,N,N,Faculdade,000000003550308,São Paulo,SP,Ativa
23333,Faculdade Damásio Educacional,FDE,Privada,N,N,N,Faculdade,000000003550308,São Paulo,SP,Ativa
21903,Faculdade Pitágoras de Pouso Alegre,FPPA,Privada,N,N,N,Faculdade,000000003152501,Pouso Alegre,MG,Ativa
3433,INSTITUTO SUPERIOR DE EDUCAÇÃO INTERLAGOS,ISE INTERLAGOS,Privada,N,N,N,Faculdade,000000003550308,São Paulo,SP,Extinta
2879,FACULDADE DE CAIEIRAS,null,Privada,N,N,N,Faculdade,000000003509007,Caieiras,SP,Ativa
12869,FACULDADES JOÃO PAULO II,FJP,Privada,N,N,N,Faculdade,000000004314100,Passo Fundo,RS,Ativa
31,CENTRO DE EDUCAÇÃO TÉCNICA DA UTRAMIG,UTRAMIG,Pública,N,N,N,Faculdade,000000003106200,Belo Horizonte,MG,Ativa
24208,FACULDADE DOCTUM DE ALMENARA,DOCTUM,Privada,N,N,N,Faculdade,000000003101706,Almenara,MG,Ativa
21593,Faculdade Plus,PLUS,Privada,N,N,N,Faculdade,000000002304400,Fortaleza,CE,Ativa
21398,FACULDADE UNINASSAU IMPERATRIZ,null,Privada,N,N,N,Faculdade,000000002105302,Imperatriz,MA,Ativa
2149,FACULDADE MATO GROSSO DO SUL,FACSUL,Privada,N,N,N,Faculdade,000000005002704,Campo Grande,MS,Ativa
1434,Centro Universitário de Itapira Uniesi,UNIESI,Privada,N,N,N,Centro Universitário,000000003522604,Itapira,SP,Ativa
23129,Instituto de Desenvolvimento e Aprendizagem - IDEA Fortaleza,IDEA Fortaleza,Privada,N,N,N,Faculdade,000000002304400,Fortaleza,CE,Ativa
2710,INSTITUTO SUPERIOR DE EDUCAÇÃO RANCHARIENSE,ISER,Privada,N,N,N,Faculdade,000000003542206,Rancharia,SP,Extinta
23723,FACULDADE VOLPE MIELE,FVM,Privada,N,N,N,Faculdade,000000003543402,Ribeirão Preto,SP,Ativa
23383,FACULDADE NACIONAL,FANAC,Privada,N,N,N,Faculdade,000000002611606,Recife,PE,Extinta
25522,FACULDADE UNITBRASIL,,Privada,N,N,N,Faculdade,000000001302603,Manaus,AM,Ativa
23090,INSTITUTO DE ENSINO SUPERIOR CAPIXABA,IESCAPI,Privada,N,N,N,Faculdade,000000003205002,Serra,ES,Ativa
267,CENTRO UNIVERSITÁRIO ESPÍRITO-SANTENSE/FAESA,null,Privada,N,N,N,Centro Universitário,000000003205309,Vitória,ES,Ativa
19323,FACULDADE ANHANGUERA DE MARABÁ,null,Privada,N,N,N,Faculdade,000000001504208,Marabá,PA,Ativa
2086,INSTITUTO DE ENSINO SUPERIOR DE FOZ DO IGUAÇU,IESFI,Privada,N,N,N,Faculdade,000000004108304,Foz do Iguaçu,PR,Ativa
15696,Faculdade de Tecnologia de Sertãozinho,FATEC SERTÃOZINHO,Pública,N,N,N,Faculdade,000000003551702,Sertãozinho,SP,Ativa
19848,FACULDADE MAURÍCIO DE NASSAU DE JUIZ DE FORA,FMN JF,Privada,N,N,N,Faculdade,000000003136702,Juiz de Fora,MG,Extinta
4786,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO TOCANTINS",IFTO,Pública,N,N,N,"Instituto Federal de Educação, Ciência e Tecnologia",000000001721000,Palmas,TO,Ativa
20664,Instituto de Educação Tecnológica EIRELI,IETEC,Privada,N,N,N,Instituição Especialmente Credenciada para oferta de cursos lato sensu,000000003106200,Belo Horizonte,MG,Ativa
3151,UNIVERSIDADE COMUNITÁRIA DA REGIÃO DE CHAPECÓ,UNOCHAPECÓ,Privada,S,S,N,Universidade,000000004204202,Chapecó,SC,Ativa
862,Centro Universitário Estácio de Campo Grande,null,Privada,N,N,N,Centro Universitário,000000005002704,Campo Grande,MS,Ativa
1686,FACULDADE BARDDAL DE ARTES APLICADAS,null,Privada,N,N,N,Faculdade,000000004205407,Florianópolis,SC,Ativa
18258,FACULDADE UNIFICADA DO ESTADO DE SÃO PAULO,FAUESP,Privada,N,N,N,Faculdade,000000003529401,Mauá,SP,Ativa
3361,INSTITUTO SUPERIOR DE EDUCAÇÃO,ISED-TRÊS PONTAS,Privada,N,N,N,Faculdade,000000003169406,Três Pontas,MG,Extinta
3896,Faculdade Paulista de Comunicação,FEPAC,Privada,N,N,N,Faculdade,000000003550308,São Paulo,SP,Ativa
1749,FACULDADE LUSO-BRASILEIRA,FALUB,Privada,N,N,N,Faculdade,000000002604007,Carpina,PE,Ativa
614,FACULDADE DE FILOSOFIA SANTA DOROTÉIA,FFSD,Privada,N,N,N,Faculdade,000000003303401,Nova Friburgo,RJ,Extinta
14961,FACULDADE DE TECNOLOGIA EM SAÚDE - IAHCS,FATESA,Privada,N,N,N,Faculdade,000000004314902,Porto Alegre,RS,Ativa
645,Centro Universitário - Católica de Santa Catarina em Jaraguá do Sul,Católica em Jaraguá,Privada,S,N,N,Centro Universitário,000000004208906,Jaraguá do Sul,SC,Ativa
